item_id,name,type,subtype,component_tag,value,questtoken,current_tags,proposed_tags,needs_review,provenance
40047,veilbloom petal,object,mundane,veilbloom,25,,,alchemy,,ingredient of alchemy recipe chrysalis-catalyst; ingredient of alchemy recipe mutagen-brew; ingredient of alchemy recipe purging-draught
40048,serpent venom sac,object,mundane,venom-sac,12,,,alchemy,,ingredient of alchemy recipe berserker-elixir; ingredient of alchemy recipe purging-draught; ingredient of alchemy recipe stone-stomach; ingredient of alchemy recipe toxic-flask
40049,ironbark shaving,object,mundane,ironbark,25,,,alchemy,,ingredient of alchemy recipe battle-trance; ingredient of alchemy recipe ironhide-brew
40050,putrid residue,object,mundane,putrid-residue,8,,,alchemy,,ingredient of alchemy recipe firebomb; ingredient of alchemy recipe flashbang; ingredient of alchemy recipe toxic-flask
40051,skitter-shrimp shell,object,mundane,shrimp-chitin,25,,,,YES,
40052,drowned-hunter hide,object,mundane,hunter-eel-hide,40,,,tailoring,,ingredient of tailoring recipe hunter-eel-scale-vest
40053,Stillwater black pearl,object,mundane,stillwater-pearl,400,,,"enchanting,jewelcrafting",,ingredient of enchanting recipe drowned-veil; ingredient of jewelcrafting recipe stillwater-pearl-pendant
40054,leviathan-tooth trophy,object,mundane,,175,,,,YES,
40055,cattail down,object,mundane,cattail-down,10,,,tailoring,,ingredient of tailoring recipe cattail-down-cloak
40056,marsh willow bark,object,mundane,marsh-willow-bark,25,,,alchemy,,ingredient of alchemy recipe lake-tonic-of-steady-hand
40057,lake mint,object,mundane,lake-mint,25,,,"alchemy,cooking",,ingredient of alchemy recipe lake-tonic-of-steady-hand; ingredient of cooking recipe stillwater-lake-chowder
40058,freshwater clam,object,mundane,freshwater-clam,25,,,cooking,,ingredient of cooking recipe stillwater-lake-chowder
40059,lake-iron nodule,object,mundane,lake-iron-nodule,60,,,blacksmithing,,ingredient of blacksmithing recipe lake-iron-hook-spear
40060,Elgar's carved kingfisher,object,mundane,,0,,,,,
40061,Elgar's last journal entry,object,mundane,,0,,,,,
40062,oak bark,object,mundane,oak-bark,35,,,"alchemy,enchanting",,ingredient of alchemy recipe fire-resistance-draught; ingredient of enchanting recipe rootbind
40063,shadowcap mushroom,object,mundane,shadowcap,40,,,"alchemy,cooking",,ingredient of alchemy recipe mindshield-elixir; ingredient of cooking recipe herbal-tea
40064,wild hare meat,object,mundane,wild-hare-meat,50,,,"alchemy,cooking",,ingredient of alchemy recipe essence-of-growth; ingredient of cooking recipe hearty-stew
40065,beeswax,object,mundane,beeswax,30,,,alchemy,,ingredient of alchemy recipe clarity-tonic
40066,blood-moss,object,mundane,blood-moss,45,,,"alchemy,cooking",,ingredient of alchemy recipe battle-trance; ingredient of cooking recipe stillwater-lake-chowder
40067,pine pitch,object,mundane,pine-pitch,35,,,"alchemy,blacksmithing",,ingredient of alchemy recipe mutagen-brew; ingredient of blacksmithing recipe steel-ingot
40068,sinew,object,mundane,sinew,25,,,"blacksmithing,tailoring",,ingredient of blacksmithing recipe lake-iron-hook-spear; ingredient of tailoring recipe artisans-satchel
